date,category,region,units_sold,discount_pct,sales_amount
2022-07-24,Sports,North,47,0.19,3473.27
2023-07-18,Furniture,South,7,0.1,12143.81
2023-01-18,Clothing,North,44,0.33,4956.51
2021-11-30,Sports,West,8,0.36,6186.2
2023-01-29,Electronics,East,47,0.31,11783.68
2022-12-29,Food,South,35,0.08,1351.33
2022-03-06,Electronics,South,14,0.03,7680.32
2022-07-01,Sports,East,17,0.24,3373.98
2021-05-27,Electronics,North,36,0.02,8684.28
2021-12-17,Furniture,East,40,0.27,17800.76
2023-12-30,Food,South,4,0.21,2400.19
2022-05-17,Clothing,West,2,0.27,2828.17
2021-12-01,Furniture,North,6,0.24,18214.84
2023-08-05,Electronics,East,42,0.17,8359.09
2023-02-17,Sports,North,4,0.08,5164.23
2022-07-07,Sports,East,29,0.12,3772.04
2022-03-26,Electronics,South,18,0.21,8521.55
2022-10-27,Food,South,26,0.26,1638.96
2021-04-25,Electronics,South,44,0.31,7710.94
2022-04-15,Electronics,West,34,0.31,7746.63
2021-03-07,Furniture,North,10,0.39,12235.45
2022-10-09,Electronics,East,36,0.11,7851.7
2023-04-02,Furniture,East,14,0.03,12052.47
2022-07-03,Food,East,31,0.14,1832.32
2021-05-16,Food,South,48,0.3,2747.65
2022-03-09,Food,North,15,0.18,1516.24
2022-10-07,Food,West,8,0.33,935.91
2022-03-12,Furniture,West,14,0.22,12198.99
2023-10-20,Electronics,South,23,0.37,7757.99
2023-03-22,Sports,West,40,0.38,4946.8
2023-07-29,Food,South,21,0.03,1251.44
2021-10-20,Furniture,North,16,0.18,12009.2
2022-06-27,Sports,North,45,0.24,4311.46
2021-10-13,Electronics,North,18,0.1,8245.65
2022-05-21,Furniture,North,47,0.16,12695.1
2022-06-23,Food,West,24,0.27,1833.74
2023-05-28,Furniture,East,26,0.09,13171.47
2023-03-29,Furniture,South,25,0.24,12224.75
2023-01-12,Electronics,South,45,0.28,12649.55
2022-03-26,Food,North,41,0.04,1265.37
2021-10-11,Sports,North,29,0.2,4987.41
2023-11-10,Electronics,East,15,0.11,11826.15
2023-10-08,Electronics,West,45,0.29,8743.02
2021-07-06,Clothing,North,1,0.08,3445.96
2021-04-07,Electronics,East,25,0.36,8033.33
2021-08-13,Electronics,East,7,0.17,8747.84
2021-11-10,Clothing,South,9,0.08,4494.01
2021-11-24,Electronics,South,24,0.18,12684.19
2023-05-15,Food,East,1,0.16,1689.02
2021-05-11,Furniture,East,44,0.17,11811.39
2023-02-28,Clothing,South,8,0.23,3160.13
2023-02-21,Clothing,West,24,0.21,3017.05
2023-08-17,Electronics,West,11,0.06,7778.74
2023-12-20,Clothing,East,17,0.03,4616.49
2022-05-30,Food,East,8,0.29,1701.84
2021-01-24,Sports,West,35,0.22,4772.73
2021-08-23,Electronics,North,35,0.14,8250.68
2022-07-01,Electronics,North,33,0.32,8370.55
2022-11-28,Food,West,5,0.16,2975.82
2021-08-17,Electronics,South,42,0.32,7382.0
2022-08-25,Electronics,South,39,0.12,7491.25
2023-06-10,Electronics,North,41,0.03,8104.64
2021-11-20,Food,West,28,0.37,1893.54
2023-07-19,Electronics,East,7,0.16,7405.12
2021-01-07,Food,South,9,0.32,2043.3
2022-06-24,Food,South,8,0.11,1320.09
2023-10-23,Sports,West,12,0.26,3492.18
2022-01-01,Furniture,West,34,0.35,17488.84
2023-11-06,Food,West,33,0.02,2189.34
2021-08-06,Clothing,South,48,0.33,2275.69
2022-09-04,Clothing,West,23,0.23,2267.64
2023-11-06,Sports,West,24,0.24,6035.75
2022-02-12,Furniture,East,37,0.21,12752.82
2021-11-10,Electronics,West,35,0.35,12366.52
2023-02-05,Clothing,South,44,0.02,3611.31
2021-11-27,Food,South,40,0.1,1347.47
2023-12-23,Clothing,West,22,0.35,3795.7
2021-01-02,Sports,North,27,0.3,6005.33
2022-10-26,Furniture,North,35,0.01,12418.11
2023-09-28,Furniture,East,1,0.21,12319.02
2021-02-09,Electronics,North,35,0.21,7327.92
2021-08-18,Sports,North,37,0.16,4567.85
2023-01-14,Sports,East,47,0.12,5959.33
2022-09-22,Clothing,South,14,0.27,3388.86
2022-05-06,Sports,West,3,0.08,3697.46
2021-04-29,Furniture,North,1,0.32,11228.13
2022-05-09,Furniture,North,5,0.32,12422.92
2021-06-11,Food,East,26,0.17,1734.82
2021-06-25,Food,East,14,0.11,877.19
2023-09-23,Furniture,North,39,0.11,11665.91
2021-05-22,Clothing,North,27,0.19,3343.04
2023-12-27,Electronics,North,9,0.29,12103.02
2021-09-15,Food,South,15,0.14,1750.85
2021-09-20,Food,West,15,0.24,1237.82
2023-09-01,Electronics,South,26,0.15,8711.56
2021-12-05,Food,South,42,0.12,2194.42
2022-06-27,Sports,North,13,0.01,2816.27
2023-12-17,Clothing,East,32,0.0,4553.47
2023-05-17,Clothing,South,39,0.09,3302.47
2022-03-10,Electronics,East,49,0.16,8148.54
2022-02-16,Electronics,West,32,0.34,7786.68
2022-10-01,Furniture,South,4,0.32,11023.14
2023-03-29,Electronics,North,30,0.11,7675.01
2023-02-04,Clothing,West,37,0.1,2722.22
2023-06-17,Electronics,North,23,0.09,7670.4
2023-11-26,Clothing,East,39,0.14,4805.98
2023-07-14,Furniture,South,45,0.2,11833.29
2021-09-05,Furniture,North,15,0.18,12690.84
2022-05-23,Clothing,South,43,0.09,2887.22
2022-04-06,Furniture,West,29,0.05,12607.94
2021-05-12,Electronics,North,36,0.01,8107.23
2022-11-24,Food,West,13,0.06,2381.91
2021-02-13,Clothing,South,32,0.28,2658.57
2022-04-17,Sports,North,7,0.1,3324.68
2022-03-28,Sports,South,22,0.19,3963.34
2021-01-15,Sports,North,28,0.24,6843.42
2021-05-26,Food,South,2,0.35,1270.65
2021-05-01,Food,West,42,0.36,1191.31
2022-04-14,Furniture,East,45,0.3,11914.04
2021-05-19,Clothing,East,6,0.01,3884.09
2021-03-06,Sports,South,28,0.23,4393.47
2022-11-08,Electronics,West,28,0.31,12607.13
2021-05-26,Clothing,South,44,0.01,2009.83
2023-11-19,Clothing,North,44,0.22,4087.68
2022-05-03,Food,South,20,0.34,1105.03
2022-07-25,Furniture,West,30,0.19,12568.04
2023-09-22,Furniture,South,11,0.0,12329.94
2022-03-15,Sports,East,28,0.0,4527.95
2021-09-28,Sports,South,25,0.17,3062.21
2023-08-27,Clothing,East,39,0.06,3555.17
2022-05-13,Furniture,East,33,0.27,12329.66
2023-08-27,Clothing,South,1,0.28,2537.95
2023-04-14,Electronics,South,27,0.07,7901.54
2022-01-25,Food,South,13,0.36,1803.21
2021-07-13,Furniture,South,41,0.18,11951.7
2021-07-18,Clothing,South,3,0.06,3224.68
2023-06-02,Food,West,39,0.31,2202.11
2022-12-27,Sports,South,6,0.32,5530.29
2023-05-18,Electronics,South,8,0.26,7765.39
2023-04-22,Clothing,South,27,0.34,2448.54
2023-08-15,Furniture,North,9,0.29,12383.28
2021-04-21,Electronics,East,37,0.35,7212.21
2021-07-21,Electronics,East,33,0.17,8088.51
2021-05-05,Clothing,West,42,0.3,2387.11
2023-04-05,Electronics,South,44,0.4,8022.91
2022-11-26,Furniture,East,24,0.29,18577.96
2021-08-12,Clothing,South,15,0.05,2744.37
2022-05-25,Food,South,32,0.21,1610.44
2022-01-28,Electronics,South,32,0.23,11553.42
2022-01-25,Furniture,West,24,0.07,17943.78
2023-07-08,Sports,West,41,0.39,3221.05
2021-10-15,Furniture,North,49,0.07,12353.86
2023-05-15,Food,East,49,0.07,1292.27
2022-01-11,Food,North,12,0.37,2145.59
2022-07-25,Electronics,West,39,0.19,8034.6
2023-08-06,Sports,West,2,0.03,3016.63
2022-05-27,Electronics,North,3,0.24,7653.88
2021-06-04,Food,North,49,0.24,1567.62
2023-06-27,Furniture,West,37,0.03,11920.04
2021-07-20,Clothing,North,49,0.39,4088.67
2021-04-14,Clothing,South,17,0.22,3629.36
2021-01-31,Furniture,West,49,0.22,18069.8
2021-07-11,Sports,West,2,0.21,3488.75
2022-04-30,Furniture,North,2,0.24,11752.53
2021-12-07,Sports,South,28,0.11,6329.07
2023-04-13,Food,South,23,0.11,1538.31
2023-09-22,Electronics,West,37,0.2,8638.05
2023-09-13,Furniture,North,32,0.32,12034.35
2022-03-14,Food,North,33,0.02,1557.92
2023-04-02,Food,North,1,0.24,2312.11
2021-05-01,Electronics,West,19,0.32,7451.72
2021-12-04,Electronics,North,2,0.06,12866.93
2023-02-16,Furniture,South,44,0.01,12384.82
2021-01-05,Furniture,West,26,0.13,19617.74
2023-03-11,Clothing,North,32,0.24,2649.28
2022-06-28,Food,East,6,0.06,2314.7
2023-07-21,Clothing,South,32,0.17,3066.94
2022-08-08,Furniture,South,4,0.22,11907.21
2023-05-17,Clothing,North,11,0.24,3152.45
2023-09-24,Sports,West,17,0.11,4062.61
2021-11-14,Food,West,38,0.16,1860.54
2022-01-24,Sports,East,24,0.31,5934.18
2022-08-31,Sports,East,5,0.38,4153.55
2022-03-22,Furniture,West,34,0.34,11787.42
2021-04-30,Sports,West,6,0.23,4270.22
2021-05-05,Furniture,South,22,0.16,11852.08
2022-10-05,Electronics,East,11,0.13,8229.17
2021-04-28,Electronics,West,48,0.05,8168.86
2021-04-13,Clothing,East,16,0.04,3225.67
2023-09-04,Electronics,South,33,0.28,7325.64
2023-10-27,Clothing,South,9,0.1,3548.54
2023-12-24,Electronics,South,6,0.1,11566.98
2021-11-19,Electronics,South,16,0.4,11907.07
2021-04-27,Electronics,South,29,0.08,7677.08
2023-11-07,Sports,South,3,0.06,6035.67
2021-06-14,Food,South,20,0.04,1444.44
2022-01-16,Clothing,North,36,0.23,4825.6
2021-05-21,Electronics,North,19,0.25,8021.94
2021-05-20,Sports,East,26,0.15,3804.16
2022-04-27,Electronics,East,3,0.21,7101.3
2023-04-07,Food,South,19,0.32,1942.16
2021-09-03,Clothing,East,20,0.33,3258.77
2022-05-20,Sports,South,32,0.38,4462.56
2021-03-23,Furniture,South,7,0.33,11907.3
2021-06-17,Furniture,South,41,0.23,12178.47
2023-05-09,Furniture,East,33,0.07,11673.3
2023-12-07,Electronics,West,40,0.04,11627.6
2022-10-10,Clothing,North,39,0.02,2858.2
2022-06-19,Food,West,18,0.27,1960.9
2022-02-23,Furniture,South,40,0.32,11862.61
2022-10-06,Clothing,East,1,0.2,2972.96
2022-05-04,Clothing,South,11,0.02,3121.22
2022-06-28,Clothing,East,28,0.21,3012.67
2023-03-22,Food,North,25,0.37,2007.17
2021-09-26,Food,West,23,0.24,1125.97
2022-09-07,Sports,South,31,0.32,4049.87
2023-07-26,Food,West,30,0.32,1737.11
2022-10-10,Electronics,South,42,0.37,7178.86
2021-05-29,Electronics,North,35,0.31,8133.02
2021-01-20,Clothing,North,7,0.3,5171.01
2023-07-28,Sports,North,16,0.09,3824.75
2021-07-24,Sports,East,26,0.02,3457.48
2021-05-31,Furniture,West,48,0.21,12233.52
2022-03-13,Food,West,49,0.05,1589.74
2023-11-03,Clothing,East,2,0.38,5261.22
2022-06-28,Clothing,North,1,0.12,3218.83
2021-09-29,Food,South,48,0.34,1028.23
2022-12-16,Electronics,North,12,0.16,11505.63
2021-05-21,Clothing,West,5,0.13,3429.91
2022-05-16,Clothing,East,37,0.37,3178.46
2023-01-27,Food,South,32,0.15,2220.89
2022-08-07,Furniture,East,9,0.16,12086.19
2021-11-20,Clothing,North,41,0.04,4720.97
2023-06-17,Electronics,East,35,0.27,8186.41
2022-09-12,Furniture,South,19,0.12,11247.26
2023-12-20,Furniture,North,48,0.23,18608.35
2021-01-17,Food,North,16,0.24,2891.81
2022-09-06,Electronics,South,3,0.29,8905.06
2021-08-01,Clothing,West,20,0.3,3796.3
2021-10-03,Food,South,24,0.21,2211.27
2022-06-26,Electronics,West,33,0.13,7856.76
2021-08-25,Clothing,North,24,0.33,3150.68
2021-08-08,Electronics,East,11,0.12,8583.5
2021-11-15,Sports,West,49,0.2,5099.62
2022-07-12,Food,South,8,0.16,1390.66
2022-08-01,Furniture,West,36,0.34,11147.31
2022-03-08,Sports,East,38,0.17,4140.14
2022-12-04,Electronics,West,40,0.15,12632.9
2022-02-21,Furniture,North,20,0.28,12009.4
2022-06-25,Clothing,East,35,0.24,2715.39
2023-11-02,Furniture,East,48,0.04,18141.58
2023-09-28,Electronics,West,25,0.2,8206.23
2022-05-30,Electronics,North,35,0.29,8241.47
2021-04-15,Electronics,East,25,0.4,7392.53
2021-07-09,Sports,East,29,0.25,4121.74
2023-05-18,Food,East,18,0.15,1592.08
2022-07-21,Clothing,North,46,0.09,3474.15
2021-04-01,Sports,South,18,0.35,3962.2
2021-01-08,Sports,North,2,0.33,6987.11
2022-11-15,Clothing,East,35,0.09,4541.17
2021-09-25,Clothing,North,16,0.08,2760.96
2022-06-21,Electronics,West,41,0.29,7498.44
2021-11-27,Electronics,East,36,0.13,11743.07
2023-06-24,Food,North,33,0.12,1100.51
2023-05-26,Food,North,4,0.06,1421.99
2021-01-20,Furniture,East,33,0.11,18843.36
2021-08-18,Furniture,East,14,0.17,11270.35
2021-06-04,Food,West,21,0.29,805.46
2021-11-02,Sports,East,48,0.13,5882.68
2021-03-15,Food,North,20,0.13,818.54
2023-01-27,Furniture,North,8,0.11,17509.03
2021-10-31,Food,West,7,0.19,1669.58
2023-05-31,Food,South,3,0.07,1473.7
2021-09-19,Furniture,East,17,0.19,12219.25
2021-03-27,Electronics,West,33,0.28,8295.53
2022-09-24,Food,West,48,0.01,2171.3
2023-01-17,Food,East,12,0.0,2439.52
2021-03-23,Food,South,22,0.03,2102.49
2023-01-03,Sports,North,22,0.21,6053.54
2022-03-07,Sports,West,46,0.34,4195.22
2022-05-27,Furniture,North,30,0.0,12188.76
2021-07-30,Electronics,South,38,0.37,8142.28
2022-12-26,Food,North,38,0.04,2352.84
2023-04-13,Sports,East,45,0.34,4910.49
2021-11-13,Electronics,South,8,0.19,12349.05
2022-04-30,Clothing,West,27,0.26,2776.31
2021-11-29,Furniture,South,27,0.2,19171.71
2021-12-29,Clothing,North,34,0.19,4311.47
2023-04-25,Clothing,North,21,0.33,2997.39
2021-02-20,Food,West,30,0.3,1084.68
2022-01-03,Furniture,North,33,0.19,18358.56
2022-11-12,Electronics,South,28,0.04,12845.12
2023-04-24,Clothing,North,47,0.05,2254.42
2022-05-24,Sports,South,33,0.32,3861.31
2022-07-01,Furniture,East,5,0.21,12558.31
2021-11-23,Food,North,48,0.19,1720.34
2021-08-10,Clothing,South,19,0.27,3287.19
2023-02-23,Electronics,South,4,0.34,7349.28
2021-03-21,Clothing,West,35,0.25,3203.97
2023-08-22,Furniture,West,49,0.31,12038.91
2022-04-01,Electronics,West,17,0.31,9658.79
2022-02-13,Food,West,44,0.14,1872.23
2023-08-01,Sports,West,28,0.11,2913.79
2022-12-18,Furniture,North,30,0.32,17962.63
2022-09-18,Sports,West,29,0.15,4412.15
2022-04-12,Clothing,South,46,0.36,2793.42
2022-04-02,Food,North,6,0.03,1271.71
2021-02-18,Food,South,35,0.02,1296.13
2022-01-31,Food,West,41,0.37,2523.58
2023-03-28,Furniture,West,37,0.26,11372.37
2022-11-04,Sports,West,24,0.15,5719.24
2022-07-25,Furniture,South,29,0.3,12516.49
2021-05-23,Food,North,49,0.27,1256.47
2022-07-26,Food,South,46,0.21,1226.55
2022-12-21,Clothing,South,31,0.04,3811.82
2023-11-10,Electronics,West,35,0.32,12322.96
2023-03-30,Sports,West,33,0.35,4212.72
2022-11-10,Sports,North,21,0.07,6486.18
2021-02-26,Food,West,32,0.34,1443.53
2021-08-25,Sports,East,23,0.35,4157.89
2022-06-19,Electronics,West,33,0.22,8153.68
2022-01-01,Furniture,West,3,0.26,17287.51
2022-06-28,Furniture,East,18,0.15,13176.72
2021-03-20,Sports,South,25,0.11,4489.03
2021-08-11,Food,South,42,0.29,1539.5
2023-06-09,Food,East,31,0.34,1387.89
2022-12-09,Electronics,South,3,0.26,12661.98
2022-10-05,Electronics,North,40,0.2,8047.96
2023-06-13,Furniture,North,46,0.06,12456.81
2023-11-14,Clothing,West,24,0.02,4210.99
2021-08-25,Furniture,East,32,0.18,11562.28
2023-02-28,Clothing,East,47,0.02,2919.13
2022-01-25,Sports,South,22,0.23,6005.29
2022-06-06,Food,North,23,0.15,1711.76
2021-04-01,Sports,East,2,0.3,4733.45
2023-06-13,Sports,South,27,0.12,4556.02
2021-01-04,Clothing,South,42,0.24,5159.0
2023-12-01,Food,North,2,0.22,1883.7
2022-02-08,Furniture,South,26,0.0,11852.54
2023-01-16,Food,North,17,0.03,2734.0
2023-06-03,Electronics,South,40,0.12,8607.47
2021-05-24,Food,North,33,0.35,1870.93
2022-11-08,Electronics,North,9,0.06,11718.64
2022-10-05,Furniture,East,43,0.28,11479.19
2021-09-13,Electronics,North,48,0.39,8116.49
2022-09-08,Clothing,East,39,0.32,2554.14
2023-11-05,Food,West,29,0.1,2480.32
2022-09-26,Sports,West,42,0.36,4625.34
2023-04-17,Electronics,East,26,0.04,8094.54
2022-10-31,Electronics,East,35,0.19,7347.09
2023-04-05,Furniture,West,25,0.36,11745.35
2022-08-29,Food,East,24,0.26,1932.34
2021-09-18,Electronics,West,13,0.17,8236.96
2022-01-28,Furniture,North,7,0.12,18276.95
2023-05-12,Food,North,36,0.15,2384.48
2023-02-16,Electronics,North,45,0.2,8174.53
2021-12-23,Electronics,South,20,0.13,12158.76
2022-09-09,Food,West,1,0.39,1928.34
2023-04-12,Clothing,West,8,0.37,2413.42
2021-01-01,Food,West,46,0.35,2027.44
2022-09-15,Food,East,16,0.17,1130.76
2022-08-11,Sports,East,14,0.28,4327.46
2022-03-07,Sports,West,12,0.36,3540.45
2023-05-31,Clothing,West,23,0.34,3281.72
2022-10-22,Electronics,West,15,0.17,7891.62
2023-08-11,Food,East,28,0.04,1321.92
2023-06-24,Clothing,West,34,0.03,3455.91
2023-06-25,Clothing,West,2,0.23,2333.92
2022-03-14,Furniture,East,32,0.26,11755.66
2023-11-13,Sports,North,23,0.34,7464.76
2023-08-28,Electronics,West,22,0.12,8925.21
2021-12-14,Food,South,25,0.07,1342.79
2021-06-23,Clothing,West,22,0.15,2746.22
2022-08-05,Electronics,East,22,0.14,8031.41
2023-11-22,Furniture,West,49,0.05,17294.4
2022-11-18,Food,North,42,0.27,3259.02
2021-07-11,Clothing,East,6,0.2,3014.79
2022-04-27,Furniture,East,15,0.29,11907.04
2022-09-28,Furniture,North,43,0.14,12190.53
2022-04-06,Furniture,North,37,0.13,12182.57
2022-02-12,Electronics,West,33,0.19,7572.82
2021-10-29,Food,South,8,0.35,2157.64
2021-02-20,Food,East,44,0.02,1581.02
2021-04-05,Sports,East,44,0.32,4654.37
2022-05-17,Food,South,5,0.15,1212.18
2023-09-01,Clothing,West,39,0.34,2102.04
2021-05-30,Sports,South,4,0.32,4718.65
2023-07-22,Furniture,North,6,0.14,12370.2
2023-04-29,Food,West,45,0.28,2084.11
2022-02-03,Sports,East,32,0.06,4614.87
2023-02-26,Clothing,West,30,0.36,3009.64
2023-10-10,Clothing,South,47,0.16,2816.53
2023-03-30,Food,West,35,0.18,1454.16
2022-05-15,Clothing,West,40,0.28,3275.71
2021-10-30,Furniture,North,16,0.33,12138.52
2021-01-12,Sports,North,13,0.09,5085.41
2021-08-07,Clothing,East,42,0.26,2940.75
2023-05-21,Food,South,30,0.16,2206.95
2022-03-25,Food,West,19,0.15,1499.34
2021-12-27,Electronics,South,17,0.28,13112.27
2023-11-27,Food,East,19,0.15,1769.48
2023-08-10,Sports,South,28,0.14,4174.27
2021-04-13,Furniture,North,26,0.33,11507.33
2022-05-26,Sports,East,37,0.04,3572.21
2021-09-06,Clothing,West,26,0.27,2576.86
2023-07-24,Furniture,North,23,0.1,13104.84
2021-10-01,Furniture,South,9,0.01,11873.93
2023-08-10,Electronics,East,12,0.07,7648.68
2023-12-24,Clothing,East,1,0.24,4498.65
2022-10-12,Sports,North,1,0.28,3888.79
2023-06-26,Furniture,South,47,0.01,12405.73
2023-10-31,Food,South,34,0.01,480.36
2023-05-24,Sports,West,32,0.36,3522.69
2023-07-03,Food,West,48,0.03,1923.25
2021-11-22,Furniture,South,25,0.36,17755.69
2023-08-31,Food,West,40,0.09,1122.52
2023-07-11,Furniture,East,45,0.3,11600.15
2022-06-15,Furniture,South,1,0.12,12361.82
2022-05-22,Furniture,North,16,0.34,12339.98
2022-07-22,Furniture,East,39,0.28,12478.81
2023-12-04,Furniture,East,5,0.16,17418.65
2023-09-20,Electronics,East,22,0.03,7389.09
2022-05-05,Sports,West,29,0.29,4568.67
2022-07-17,Electronics,East,3,0.25,8102.56
2023-06-20,Furniture,East,12,0.0,11697.03
2021-06-08,Electronics,West,26,0.0,7921.42
2022-08-09,Clothing,West,16,0.32,2382.83
2022-04-26,Sports,South,37,0.1,3735.2
2022-07-11,Food,East,22,0.25,1579.61
2022-11-19,Clothing,East,29,0.18,4677.24
2022-10-17,Sports,East,14,0.35,3956.28
2021-06-15,Sports,East,28,0.37,3905.15
2021-10-11,Food,South,5,0.4,1866.63
2021-11-05,Clothing,East,47,0.06,4449.31
2022-04-19,Sports,East,49,0.35,3776.44
2023-02-24,Sports,North,30,0.11,3618.85
2021-11-09,Sports,East,46,0.24,5116.2
2022-03-15,Food,North,5,0.2,1824.96
2021-05-12,Electronics,West,12,0.01,8731.79
2023-04-30,Furniture,South,16,0.37,11586.74
2023-04-15,Clothing,South,26,0.03,2364.97
2022-11-09,Furniture,East,26,0.28,17688.64
2023-08-13,Electronics,East,48,0.31,8145.27
2023-05-02,Furniture,West,21,0.32,11747.35
2021-05-08,Sports,East,39,0.05,3738.65
2022-02-28,Furniture,South,36,0.18,11958.54
2023-05-11,Electronics,East,33,0.33,8050.4
2023-03-09,Electronics,West,30,0.12,8184.13
2021-02-10,Electronics,East,37,0.19,7852.42
2023-02-19,Food,North,23,0.11,1343.52
2023-09-04,Electronics,South,10,0.19,7039.01
2021-01-13,Food,South,5,0.36,2717.84
2022-12-22,Sports,South,36,0.18,6126.18
2022-09-04,Electronics,North,34,0.22,8755.53
2023-03-10,Food,East,31,0.16,1755.56
2023-05-09,Sports,West,10,0.18,3963.2
2022-03-28,Furniture,South,19,0.01,11256.99
2023-09-27,Food,West,32,0.11,683.12
2022-03-26,Electronics,South,1,0.17,8524.17
2022-07-13,Electronics,East,5,0.25,8280.77
2023-06-12,Sports,North,45,0.18,4732.7
2023-09-22,Sports,South,4,0.14,4465.62
2021-03-01,Electronics,South,16,0.16,7814.43
2023-03-08,Clothing,North,24,0.1,1849.96
2022-11-20,Sports,North,16,0.37,6302.26
2023-04-09,Clothing,West,2,0.21,2491.95
2021-12-05,Sports,South,49,0.01,5907.85
2023-08-16,Furniture,North,28,0.01,12206.06
2021-09-19,Clothing,South,32,0.39,2684.68
2023-12-30,Clothing,North,27,0.09,4087.42
2021-02-25,Clothing,West,20,0.32,2846.41
2023-03-18,Food,North,24,0.02,476.91
2021-02-25,Food,West,12,0.37,983.16
2021-06-21,Electronics,East,35,0.35,7475.93
2023-05-28,Furniture,East,33,0.23,11882.08
2021-10-05,Sports,East,33,0.0,3526.42
2023-08-04,Clothing,South,43,0.1,2742.09
2022-01-08,Electronics,East,37,0.16,11777.52
2021-04-13,Electronics,West,12,0.18,9063.84
2022-06-17,Electronics,East,3,0.12,8384.79
2023-02-16,Clothing,East,1,0.01,2939.81
2022-11-02,Sports,West,33,0.24,6224.54
2022-03-10,Electronics,South,40,0.21,8460.36
2023-07-21,Sports,South,10,0.11,4143.88
2022-11-01,Electronics,North,43,0.02,11483.06
2022-11-23,Clothing,South,44,0.4,4431.5
2023-02-16,Clothing,North,29,0.19,2512.05
2022-07-24,Electronics,North,13,0.3,7835.46
2023-05-14,Furniture,East,12,0.18,11920.57
2022-06-01,Electronics,East,31,0.02,8526.29
2021-06-17,Sports,West,46,0.12,3602.94
2023-08-22,Furniture,East,2,0.13,11562.88
2021-02-09,Furniture,West,35,0.34,11641.53
2021-04-17,Electronics,North,23,0.26,7695.5
2022-12-18,Electronics,South,17,0.11,11840.92
2022-04-05,Food,South,26,0.39,1664.66
2021-05-21,Furniture,North,8,0.13,11607.45
2021-03-24,Furniture,North,29,0.4,12057.45
2021-03-05,Clothing,South,26,0.4,3063.63
2022-05-22,Clothing,East,10,0.08,3276.84
2022-02-13,Sports,North,26,0.13,3894.61
2021-02-11,Food,South,34,0.19,1916.04
2021-11-09,Sports,North,41,0.27,6184.52
2022-05-04,Furniture,South,7,0.21,12162.09
2021-09-16,Sports,West,4,0.39,3724.66
2023-08-28,Electronics,East,45,0.29,8137.28
2021-08-23,Furniture,West,11,0.08,12176.14
2022-03-23,Clothing,East,29,0.04,2701.21
2023-08-11,Electronics,West,36,0.28,8597.14
2022-06-09,Clothing,South,25,0.06,4311.75
2023-01-26,Clothing,East,21,0.32,4171.43
2021-12-10,Clothing,East,36,0.12,4264.91
2021-08-23,Clothing,West,10,0.13,2777.49
2021-12-02,Sports,North,37,0.0,5345.22
2022-09-30,Sports,West,9,0.28,3561.85
2021-08-10,Clothing,North,24,0.05,3428.61
2021-02-22,Furniture,South,35,0.31,11958.99
2022-10-01,Furniture,North,49,0.2,12959.51
2023-02-08,Food,East,35,0.31,1355.75
2023-03-24,Food,East,48,0.23,1708.18
